SNR_dB	MSE
-20	7.025454e+04
-19	5.968097e+04
-18	4.479569e+04
-17	3.518511e+04
-16	2.946993e+04
-15	2.340084e+04
-14	1.794592e+04
-13	1.414634e+04
-12	1.186372e+04
-11	9.145770e+03
-10	7.539040e+03
-9	5.988180e+03
-8	4.482219e+03
-7	3.532148e+03
-6	2.937430e+03
-5	2.325593e+03
-4	1.854464e+03
-3	1.425782e+03
-2	1.169603e+03
-1	9.022837e+02
0	7.026451e+02
1	5.684519e+02
2	4.545711e+02
3	3.654511e+02
4	2.912316e+02
5	2.412916e+02
6	1.843142e+02
7	1.460094e+02
8	1.164777e+02
9	9.338939e+01
10	7.607715e+01
11	5.614701e+01
12	4.569079e+01
13	3.742160e+01
14	2.769022e+01
15	2.316010e+01
16	1.803068e+01
17	1.461617e+01
18	1.138511e+01
19	9.432967e+00
20	6.960638e+00
