SNR_dB	RollOff	MSE
-20	0.00	3.552401e+02
-20	0.05	3.416498e+02
-20	0.10	3.508530e+02
-20	0.15	3.425811e+02
-20	0.20	3.611488e+02
-20	0.25	3.705835e+02
-20	0.30	3.661427e+02
-20	0.35	3.841726e+02
-20	0.40	3.605371e+02
-20	0.45	3.606454e+02
-20	0.50	3.656083e+02
-20	0.55	3.642037e+02
-20	0.60	3.479549e+02
-20	0.65	3.586791e+02
-20	0.70	3.597173e+02
-20	0.75	3.684544e+02
-20	0.80	3.522143e+02
-20	0.85	3.753211e+02
-20	0.90	3.610289e+02
-20	0.95	3.697199e+02
-20	1.00	3.650551e+02

-19	0.00	2.820659e+02
-19	0.05	2.743760e+02
-19	0.10	2.661486e+02
-19	0.15	2.976051e+02
-19	0.20	2.986105e+02
-19	0.25	3.029871e+02
-19	0.30	2.985762e+02
-19	0.35	2.863782e+02
-19	0.40	2.888625e+02
-19	0.45	2.734026e+02
-19	0.50	2.831326e+02
-19	0.55	2.910199e+02
-19	0.60	2.926871e+02
-19	0.65	2.951752e+02
-19	0.70	2.944917e+02
-19	0.75	2.837170e+02
-19	0.80	2.883957e+02
-19	0.85	2.980488e+02
-19	0.90	2.890589e+02
-19	0.95	2.836608e+02
-19	1.00	2.914736e+02

-18	0.00	2.178385e+02
-18	0.05	2.249800e+02
-18	0.10	2.255925e+02
-18	0.15	2.244159e+02
-18	0.20	2.268448e+02
-18	0.25	2.224112e+02
-18	0.30	2.284575e+02
-18	0.35	2.328691e+02
-18	0.40	2.334779e+02
-18	0.45	2.179769e+02
-18	0.50	2.298063e+02
-18	0.55	2.293667e+02
-18	0.60	2.384734e+02
-18	0.65	2.232430e+02
-18	0.70	2.254874e+02
-18	0.75	2.194965e+02
-18	0.80	2.336487e+02
-18	0.85	2.280393e+02
-18	0.90	2.300548e+02
-18	0.95	2.343389e+02
-18	1.00	2.350210e+02

-17	0.00	1.758840e+02
-17	0.05	1.758133e+02
-17	0.10	1.791711e+02
-17	0.15	1.778227e+02
-17	0.20	1.771001e+02
-17	0.25	1.905221e+02
-17	0.30	1.832352e+02
-17	0.35	1.850989e+02
-17	0.40	1.839324e+02
-17	0.45	1.845197e+02
-17	0.50	1.842549e+02
-17	0.55	1.842409e+02
-17	0.60	1.857890e+02
-17	0.65	1.958231e+02
-17	0.70	1.842626e+02
-17	0.75	1.921622e+02
-17	0.80	1.759171e+02
-17	0.85	1.837016e+02
-17	0.90	1.789777e+02
-17	0.95	1.842196e+02
-17	1.00	1.842386e+02

-16	0.00	1.358396e+02
-16	0.05	1.403593e+02
-16	0.10	1.419170e+02
-16	0.15	1.451604e+02
-16	0.20	1.451515e+02
-16	0.25	1.469365e+02
-16	0.30	1.483881e+02
-16	0.35	1.506657e+02
-16	0.40	1.405263e+02
-16	0.45	1.441959e+02
-16	0.50	1.436868e+02
-16	0.55	1.411231e+02
-16	0.60	1.349938e+02
-16	0.65	1.428701e+02
-16	0.70	1.440902e+02
-16	0.75	1.385011e+02
-16	0.80	1.439837e+02
-16	0.85	1.461344e+02
-16	0.90	1.455152e+02
-16	0.95	1.490608e+02
-16	1.00	1.400631e+02

-15	0.00	1.120935e+02
-15	0.05	1.120175e+02
-15	0.10	1.139284e+02
-15	0.15	1.154097e+02
-15	0.20	1.180659e+02
-15	0.25	1.178017e+02
-15	0.30	1.146383e+02
-15	0.35	1.149568e+02
-15	0.40	1.140371e+02
-15	0.45	1.148188e+02
-15	0.50	1.160965e+02
-15	0.55	1.176019e+02
-15	0.60	1.128793e+02
-15	0.65	1.136900e+02
-15	0.70	1.149993e+02
-15	0.75	1.149959e+02
-15	0.80	1.125488e+02
-15	0.85	1.177883e+02
-15	0.90	1.179170e+02
-15	0.95	1.127230e+02
-15	1.00	1.108955e+02

-14	0.00	8.633852e+01
-14	0.05	8.795513e+01
-14	0.10	8.870944e+01
-14	0.15	9.342202e+01
-14	0.20	8.822613e+01
-14	0.25	9.482682e+01
-14	0.30	9.087386e+01
-14	0.35	9.109857e+01
-14	0.40	9.224283e+01
-14	0.45	9.426482e+01
-14	0.50	9.283069e+01
-14	0.55	9.466115e+01
-14	0.60	9.365132e+01
-14	0.65	9.317197e+01
-14	0.70	9.650617e+01
-14	0.75	9.073147e+01
-14	0.80	9.020906e+01
-14	0.85	8.988535e+01
-14	0.90	8.876319e+01
-14	0.95	9.661821e+01
-14	1.00	8.979515e+01

-13	0.00	7.375421e+01
-13	0.05	6.837194e+01
-13	0.10	6.878039e+01
-13	0.15	7.182206e+01
-13	0.20	7.288224e+01
-13	0.25	7.661742e+01
-13	0.30	7.454880e+01
-13	0.35	7.452815e+01
-13	0.40	7.277580e+01
-13	0.45	6.951887e+01
-13	0.50	7.115526e+01
-13	0.55	7.368940e+01
-13	0.60	7.458869e+01
-13	0.65	7.163265e+01
-13	0.70	6.931112e+01
-13	0.75	7.509696e+01
-13	0.80	7.294419e+01
-13	0.85	7.424503e+01
-13	0.90	7.422327e+01
-13	0.95	7.047483e+01
-13	1.00	7.097119e+01

-12	0.00	5.408610e+01
-12	0.05	5.513900e+01
-12	0.10	5.687824e+01
-12	0.15	5.710204e+01
-12	0.20	5.631598e+01
-12	0.25	6.027765e+01
-12	0.30	6.005679e+01
-12	0.35	5.800258e+01
