SNR_dB	MSE_a_0	MSE_a_05	MSE_a_1	MSE_a_15	MSE_a_2	MSE_a_25	MSE_a_3	MSE_a_35	MSE_a_4	MSE_a_45	MSE_a_5	MSE_a_55	MSE_a_6	MSE_a_65	MSE_a_7	MSE_a_75	MSE_a_8	MSE_a_85	MSE_a_9	MSE_a_95	MSE_a_10
-20	3498.72109713746	3510.40514161904	3421.9392483476	3512.12546294956	3650.0366642906	3554.88887919154	3780.1493003101	3470.11259538061	3695.92552811614	3579.65671752161	3588.57889713758	3662.73143749325	3640.20656569543	3650.83651356956	3649.97628531646	3791.89055002723	3539.95309960823	3563.36170785196	3477.96159292648	3442.98226849182	3668.81862933705
-19	11633.793915539	11191.7854256662	11728.7095999764	12287.8615156312	11458.4875490534	12376.1975507771	11929.6157301106	12348.9966356981	11990.0232660884	12437.3537353797	12224.1763131423	12539.6411081473	12304.3344156972	12383.7528012104	11928.0050140652	13006.8551199225	12608.3821074746	11899.7391321974	11581.3951075943	12410.9065129809	12536.3922011556
-18	22379.3755816881	22523.9258816274	22507.9561083302	23066.2681393482	23473.6591667486	24064.78525792	24093.6481686888	23473.3672598696	23535.4661256519	24369.858771102	24026.7064975592	22003.5218198368	24575.7813421909	22934.5615479339	23772.2294638809	24067.6376143795	23580.9241958356	23906.0217470882	23258.7175210603	23095.6405012627	23300.1202776579
-17	34520.9896328153	33353.0843573682	35282.9262645328	35080.5992020418	37163.198269565	36159.4193938503	33510.5188534966	35346.2570005242	35352.0360760185	37304.2493440754	36535.9660382	36538.7343870934	37711.3591936678	35797.8371211095	36019.2961700384	35810.2993768318	35943.4631426086	34733.6938480055	35516.4896527857	34145.9601643822	35476.8218313827
-16	44017.1930829854	45417.7816103137	44722.9765928593	46944.3792090634	47618.566807308	50067.0101568905	48251.0418442126	46198.4681783643	48318.6031821103	46750.7284483254	47932.8499857198	46879.2846391214	49421.2770202443	48083.9295989166	48892.5199167308	46385.8629233166	47124.036026831	48538.3455610901	48356.0240556413	48294.202553855	47579.3164657313
-15	54950.9184891968	54456.5318160177	58376.9655475749	58321.9560043576	60227.2872144061	58030.6896394672	61263.9133691867	59686.9579446719	60037.8115936541	60715.5968188782	59385.2810757217	59730.9405515836	56712.8372613889	60644.3877973071	60826.7080994168	61207.3284899391	59134.5714100855	57654.6015869687	60791.9998755141	60994.0387021503	60327.1481980392
-14	65008.8101195842	67730.7187688305	68304.586857853	68876.996059776	72205.493373048	74915.2274394405	69351.7685898435	68236.0446232477	71981.4890162245	74082.3809372712	69339.0023924715	70617.0040461934	69977.9531756226	71869.471999133	71045.9563953699	66710.4494859214	69204.5823894382	69541.958144347	74371.2557857985	73880.191648199	70598.9558752188
-13	75051.5587951839	77429.6411213452	80320.1066667323	77816.4948920365	81004.9632054571	87088.1159218369	81291.7063876791	81902.3591354395	78629.5063592236	78961.1367432984	80140.3533682331	86852.4746341429	82045.3036087141	84368.6683214726	84174.7041229053	82088.5920619237	79776.596290703	78580.0098089924	81144.130862034	81045.4009126695	81765.2223739098
-12	90595.3908472981	89086.4762415383	88759.256958369	87354.330631059	93601.1272238652	96758.6842999122	95426.6839038688	93136.2584581196	95856.7800392333	93068.687534983	91701.0336605989	93244.3853724322	93591.4519093409	91501.2321115822	94006.6933314051	93658.9615722412	91692.1539121865	93719.9239262682	92938.2072093822	93004.4702984772	91051.3035523404
-11	97084.5195221022	97251.2213778002	98918.1774956194	102514.051311527	103166.408650034	107897.945704713	106092.708509834	104770.092054241	99909.2896719202	105112.705215615	104539.706652807	107238.610524916	105278.008402258	104332.258268054	110723.684139248	101781.504161726	105639.022102997	105967.336984211	106129.98628357	104677.454026547	107213.656794089
-10	106734.62439306	110592.854485381	111106.806397589	121462.188711363	122433.436309556	122745.130867669	118475.450105637	116105.684129055	114496.147817319	115007.755853482	118196.103515361	116051.714958785	119072.525542643	114047.511434262	115714.998500505	113694.658782987	118451.057749773	118393.044084986	116728.719315628	116540.208965816	116083.093412912
-9	117061.032882018	118012.340778187	122376.607507506	126262.499779898	132303.057407791	131192.099722338	128693.789716228	127420.582291508	131322.513944002	128790.543967818	131147.207936694	131318.908026856	130403.34055246	129496.092012481	130244.032999091	128052.717998195	131226.422966268	134901.256833749	131914.120928794	127022.170977817	125161.537141476
-8	133455.825958319	130248.020485407	133203.225459995	141246.378233388	144308.144002473	141813.16639817	148541.84101554	142757.957968074	140959.785085722	141996.373727455	140890.146952696	142834.739367007	138136.220667715	145496.763958334	143244.781152454	142130.806084583	142491.363648579	139849.304361144	139072.444507093	143572.407276435	143254.903181938
-7	145486.664095021	145503.344518389	146371.587833517	152461.128091005	157949.769903845	160344.935558316	158971.128024893	156294.201654101	157160.907148491	152712.206983499	162850.650840416	155730.983053333	154469.913676112	158943.363705066	156330.026947179	158499.06540097	161551.214851517	159489.135674248	161708.704153704	163887.312082842	160982.526587555
-6	158533.920373766	159915.859633096	166969.755301936	170687.944606731	177572.213955468	178338.62861313	179729.537672038	174616.538268223	175023.032841594	176314.584353744	177287.831634341	175601.098247033	175868.929863546	176478.777322394	182952.146816032	172516.658130504	169692.944899859	177713.361819845	174649.455917374	172675.250033671	174411.771681125
-5	177348.654791011	179810.736960491	178909.708531067	190715.406413013	190062.072147321	194458.948712121	198036.434143203	191787.938801186	189209.782364839	191839.977791951	192761.19067788	200731.766670226	193680.275757489	193349.295032568	195670.754322861	191936.081319654	199751.77393379	193911.715518288	195899.991709104	190529.970120507	194663.068964705
-4	189486.269642073	194105.997571402	197581.734514846	210061.507819455	213026.960942868	216851.659898777	213112.88674545	214898.961782547	205113.608004903	212373.738617787	212068.238917178	213174.359047938	212702.782252481	215949.542292074	211310.419565783	213922.617207448	211717.052192856	210833.807798792	218890.48358394	214922.388278011	211900.155833339
-3	210134.194122058	210561.615029117	213132.674155085	225687.046476035	242661.614054466	235042.630337409	237681.119583481	235258.715889202	230709.804130264	237464.121147911	234731.415805693	232849.007553484	232245.943394248	233315.787160672	231526.89042017	232079.430542749	230298.687844125	236151.135072233	237577.85885214	235402.584495058	234280.627140804
-2	231478.321931073	228898.160073092	236833.859469034	247725.598923696	259902.700312463	258900.563347293	260541.887303742	253552.547310769	252974.053993071	251924.409217554	257116.265611253	259447.388712967	257262.009157293	256247.389996123	255530.639680261	256206.063950051	253094.174430554	257417.224028134	256061.517331265	257064.058863109	258780.400540978
-1	254693.368929	249538.064453523	265516.344415616	275985.455815606	283598.886498905	287537.055019293	286226.825048013	278748.428064018	268940.69850914	275360.127039477	281628.503830833	280268.694738918	283424.516921397	282905.220594383	282499.191893295	281108.672421828	281009.106397955	287277.613185217	280209.525024247	282587.833517365	278706.666589385
0	274238.05431399	279526.24292766	288452.851422005	304313.646562855	314792.206857287	312089.364153763	313121.525622504	303144.787048421	303474.898883077	301177.863124923	303538.796584158	310951.026465805	305646.458773159	312004.599417169	310826.436241387	310629.146300014	305154.818451973	305519.330876223	308437.102944798	310837.379887926	311111.375868652
1	303739.462438123	302286.840148238	310083.995074831	329049.947782588	340196.490942549	340759.835396579	337249.925087231	331180.893992448	328446.770995566	331622.454357904	334669.932289462	334715.29456958	335845.377067473	337030.407608208	334303.179529826	334454.212791155	329897.495280348	338178.721145096	339284.928024564	341667.278585925	337000.806635156
