SNR_dB	aleph_array	mse_results
-20	0	1.481054e+02
-20	0.05	1.441771e+02
-20	0.1	1.416731e+02
-20	0.15	1.332469e+02
-20	0.2	1.445487e+02
-20	0.25	1.390931e+02
-20	0.3	1.382796e+02
-20	0.35	1.377562e+02
-20	0.4	1.467516e+02
-20	0.45	1.285674e+02
-20	0.5	1.414501e+02
-20	0.55	1.480413e+02
-20	0.6	1.467637e+02
-20	0.65	1.488668e+02
-20	0.7	1.672871e+02
-20	0.75	1.611248e+02
-20	0.8	1.522761e+02
-20	0.85	1.453723e+02
-20	0.9	1.490125e+02
-20	0.95	1.502780e+02
-20	1	1.528905e+02

-19	0	1.170304e+02
-19	0.05	1.112096e+02
-19	0.1	1.112452e+02
-19	0.15	1.073127e+02
-19	0.2	1.183440e+02
-19	0.25	1.110360e+02
-19	0.3	1.188188e+02
-19	0.35	1.059345e+02
-19	0.4	1.106314e+02
-19	0.45	1.158666e+02
-19	0.5	1.118407e+02
-19	0.55	1.255913e+02
-19	0.6	1.227090e+02
-19	0.65	1.261877e+02
-19	0.7	1.180983e+02
-19	0.75	1.286683e+02
-19	0.8	1.164422e+02
-19	0.85	1.333694e+02
-19	0.9	1.214181e+02
-19	0.95	1.106356e+02
-19	1	1.031810e+02

-18	0	9.568342e+01
-18	0.05	9.258674e+01
-18	0.1	9.837583e+01
-18	0.15	9.420667e+01
-18	0.2	9.579691e+01
-18	0.25	8.569353e+01
-18	0.3	9.573333e+01
-18	0.35	9.146945e+01
-18	0.4	9.451150e+01
-18	0.45	9.090678e+01
-18	0.5	8.738841e+01
-18	0.55	9.910718e+01
-18	0.6	9.904872e+01
-18	0.65	9.328289e+01
-18	0.7	8.764655e+01
-18	0.75	9.865170e+01
-18	0.8	9.659763e+01
-18	0.85	9.388431e+01
-18	0.9	8.178015e+01
-18	0.95	9.280934e+01
-18	1	9.544527e+01

-17	0	7.776595e+01
-17	0.05	8.053138e+01
-17	0.1	7.579928e+01
-17	0.15	7.188892e+01
-17	0.2	7.678968e+01
-17	0.25	7.645273e+01
-17	0.3	7.606728e+01
-17	0.35	7.050269e+01
-17	0.4	6.682565e+01
-17	0.45	7.068845e+01
-17	0.5	7.464943e+01
-17	0.55	7.315475e+01
-17	0.6	7.470094e+01
-17	0.65	7.734650e+01
-17	0.7	7.877723e+01
-17	0.75	7.633535e+01
-17	0.8	7.754059e+01
-17	0.85	7.975801e+01
-17	0.9	7.608368e+01
-17	0.95	7.558624e+01
-17	1	7.684009e+01

-16	0	6.392808e+01
-16	0.05	6.725373e+01
-16	0.1	7.144550e+01
-16	0.15	6.662919e+01
-16	0.2	6.406267e+01
-16	0.25	6.273710e+01
-16	0.3	6.392139e+01
-16	0.35	5.676173e+01
-16	0.4	5.770178e+01
-16	0.45	5.599840e+01
-16	0.5	6.093955e+01
-16	0.55	5.632126e+01
-16	0.6	5.575404e+01
-16	0.65	6.256181e+01
-16	0.7	6.213404e+01
-16	0.75	5.995598e+01
-16	0.8	5.455880e+01
-16	0.85	6.067865e+01
-16	0.9	6.417858e+01
-16	0.95	6.305039e+01
-16	1	5.503594e+01

-15	0	5.284219e+01
-15	0.05	5.543099e+01
-15	0.1	5.423301e+01
-15	0.15	5.508166e+01
-15	0.2	5.109054e+01
-15	0.25	4.863243e+01
-15	0.3	4.998396e+01
-15	0.35	4.604711e+01
-15	0.4	4.515777e+01
-15	0.45	4.818203e+01
-15	0.5	4.616205e+01
-15	0.55	4.734963e+01
-15	0.6	4.945394e+01
-15	0.65	4.754082e+01
-15	0.7	4.981751e+01
-15	0.75	4.870025e+01
-15	0.8	4.985364e+01
-15	0.85	5.161470e+01
-15	0.9	4.526136e+01
-15	0.95	4.938889e+01
-15	1	4.694417e+01

-14	0	4.895662e+01
-14	0.05	4.213380e+01
-14	0.1	4.825217e+01
-14	0.15	4.345938e+01
-14	0.2	4.819287e+01
-14	0.25	4.323593e+01
-14	0.3	4.062395e+01
-14	0.35	3.646476e+01
-14	0.4	3.420942e+01
-14	0.45	3.803922e+01
-14	0.5	3.594120e+01
-14	0.55	3.794539e+01
-14	0.6	3.747630e+01
-14	0.65	4.105465e+01
-14	0.7	3.621208e+01
-14	0.75	3.909843e+01
-14	0.8	4.164705e+01
-14	0.85	4.070606e+01
-14	0.9	3.931855e+01
-14	0.95	3.601467e+01
-14	1	3.737939e+01

-13	0	3.955932e+01
-13	0.05	4.042628e+01
-13	0.1	4.124977e+01
-13	0.15	3.739099e+01
-13	0.2	3.940726e+01
-13	0.25	3.574765e+01
-13	0.3	3.491016e+01
-13	0.35	2.900346e+01
-13	0.4	3.023967e+01
-13	0.45	2.855187e+01
-13	0.5	3.196871e+01
-13	0.55	3.026756e+01
-13	0.6	3.128666e+01
-13	0.65	3.081510e+01
-13	0.7	2.924659e+01
-13	0.75	3.138200e+01
-13	0.8	3.084294e+01
-13	0.85	3.153714e+01
-13	0.9	2.928518e+01
-13	0.95	3.111318e+01
-13	1	3.133241e+01

-12	0	3.161464e+01
-12	0.05	3.756975e+01
-12	0.1	3.746110e+01
-12	0.15	3.822687e+01
-12	0.2	3.372710e+01
-12	0.25	3.169475e+01
-12	0.3	2.850732e+01
-12	0.35	2.520694e+01
-12	0.4	2.477597e+01
-12	0.45	2.516892e+01
-12	0.5	2.301015e+01
-12	0.55	2.552622e+01
-12	0.6	2.248242e+01
-12	0.65	2.449318e+01
-12	0.7	2.568268e+01
-12	0.75	2.564768e+01
-12	0.8	2.470250e+01
-12	0.85	2.451509e+01
-12	0.9	2.335205e+01
-12	0.95	2.473782e+01
-12	1	2.478449e+01

-11	0	2.865394e+01
-11	0.05	3.331026e+01
-11	0.1	3.151592e+01
-11	0.15	3.042610e+01
-11	0.2	2.905851e+01
-11	0.25	2.691421e+01
-11	0.3	2.437689e+01
-11	0.35	2.297626e+01
-11	0.4	2.154566e+01
-11	0.45	2.120094e+01
-11	0.5	1.995146e+01
-11	0.55	1.949233e+01
-11	0.6	1.910718e+01
-11	0.65	1.953016e+01
-11	0.7	1.936944e+01
-11	0.75	2.099232e+01
-11	0.8	2.070890e+01
-11	0.85	2.058401e+01
-11	0.9	1.932267e+01
-11	0.95	1.892485e+01
-11	1	2.035391e+01

-10	0	2.869068e+01
-10	0.05	2.885331e+01
-10	0.1	2.987956e+01
-10	0.15	3.062331e+01
-10	0.2	2.580079e+01
-10	0.25	2.345361e+01
-10	0.3	2.134631e+01
-10	0.35	2.023553e+01
-10	0.4	1.756547e+01
-10	0.45	1.631318e+01
-10	0.5	1.390063e+01
-10	0.55	1.504479e+01
-10	0.6	1.569153e+01
-10	0.65	1.521988e+01
-10	0.7	1.621953e+01
-10	0.75	1.725771e+01
-10	0.8	1.670888e+01
-10	0.85	1.577114e+01
-10	0.9	1.674412e+01
-10	0.95	1.699878e+01
-10	1	1.465618e+01

-9	0	2.544872e+01
-9	0.05	2.609202e+01
-9	0.1	2.795182e+01
-9	0.15	2.482340e+01
-9	0.2	2.312705e+01
-9	0.25	2.130601e+01
-9	0.3	1.901228e+01
-9	0.35	1.493248e+01
-9	0.4	1.517340e+01
-9	0.45	1.260744e+01
-9	0.5	1.196026e+01
-9	0.55	1.195841e+01
-9	0.6	1.304531e+01
-9	0.65	1.379459e+01
-9	0.7	1.258433e+01
-9	0.75	1.283026e+01
-9	0.8	1.275443e+01
-9	0.85	1.310146e+01
-9	0.9	1.210774e+01
-9	0.95	1.389139e+01
-9	1	1.226531e+01

-8	0	2.212929e+01
-8	0.05	2.428791e+01
-8	0.1	2.494362e+01
-8	0.15	2.373616e+01
-8	0.2	2.090599e+01
-8	0.25	1.897847e+01
-8	0.3	1.531260e+01
-8	0.35	1.330677e+01
-8	0.4	1.221842e+01
-8	0.45	1.117958e+01
-8	0.5	1.043751e+01
-8	0.55	1.041910e+01
-8	0.6	9.433041e+00
-8	0.65	1.091913e+01
-8	0.7	1.113930e+01
-8	0.75	1.053135e+01
-8	0.8	1.102763e+01
-8	0.85	1.065382e+01
-8	0.9	9.815422e+00
-8	0.95	1.040268e+01
-8	1	9.565247e+00

-7	0	2.146560e+01
-7	0.05	2.331127e+01
-7	0.1	2.438822e+01
-7	0.15	2.164847e+01
-7	0.2	1.986601e+01
-7	0.25	1.705192e+01
-7	0.3	1.398601e+01
-7	0.35	1.198761e+01
-7	0.4	1.019510e+01
