ConstellationDiagramCh	ConstellationDiagram
2.866304e+01	2.866495e+01
2.816267e+01	2.812684e+01
2.750438e+01	2.757508e+01
2.784268e+01	2.785161e+01
2.679114e+01	2.680349e+01
2.920218e+01	2.919614e+01
2.752635e+01	2.755906e+01
2.925615e+01	2.929707e+01
2.779212e+01	2.776407e+01
2.837288e+01	2.837167e+01
2.604061e+01	2.605383e+01
2.675402e+01	2.679883e+01
2.873528e+01	2.874598e+01
2.684799e+01	2.686102e+01
2.812082e+01	2.807735e+01
2.714302e+01	2.713997e+01
2.735334e+01	2.736442e+01
2.614020e+01	2.615066e+01
2.621710e+01	2.622955e+01
2.848674e+01	2.848457e+01
2.749372e+01	2.745512e+01
2.667851e+01	2.670106e+01
2.673600e+01	2.673483e+01
2.836326e+01	2.836173e+01
2.741878e+01	2.744377e+01
2.802611e+01	2.801348e+01
2.790028e+01	2.789668e+01
2.825532e+01	2.825622e+01
2.791986e+01	2.790049e+01
2.614955e+01	2.615862e+01
2.788621e+01	2.787504e+01
2.866580e+01	2.862516e+01
2.824538e+01	2.822864e+01
2.508774e+01	2.512255e+01
2.723718e+01	2.722622e+01
2.719746e+01	2.717706e+01
2.779498e+01	2.781799e+01
2.698739e+01	2.698883e+01
2.744636e+01	2.749796e+01
2.910772e+01	2.910651e+01
2.833954e+01	2.834765e+01
2.779447e+01	2.776810e+01
2.659333e+01	2.657651e+01
2.739274e+01	2.742950e+01
2.765282e+01	2.764789e+01
2.695860e+01	2.694291e+01
2.716574e+01	2.716329e+01
2.793782e+01	2.791523e+01
2.906435e+01	2.905781e+01
2.505713e+01	2.505570e+01
2.637776e+01	2.640180e+01
2.858730e+01	2.862265e+01
2.808570e+01	2.808167e+01
2.721606e+01	2.722865e+01
2.791440e+01	2.791419e+01
2.655275e+01	2.652219e+01
2.651526e+01	2.647853e+01
2.788110e+01	2.781769e+01
2.902276e+01	2.901611e+01
2.825158e+01	2.824943e+01
2.696950e+01	2.699230e+01
2.835555e+01	2.838530e+01
2.725150e+01	2.725191e+01
2.677520e+01	2.677375e+01
2.704198e+01	2.705496e+01
2.686682e+01	2.688709e+01
2.729260e+01	2.729086e+01
2.804889e+01	2.806215e+01
2.643291e+01	2.643608e+01
2.786519e+01	2.785159e+01
2.863549e+01	2.863300e+01
2.764746e+01	2.764999e+01
2.823252e+01	2.820314e+01
2.747288e+01	2.744759e+01
2.955815e+01	2.951850e+01
2.843020e+01	2.842416e+01
2.564793e+01	2.568589e+01
2.755398e+01	2.753497e+01
2.570696e+01	2.569214e+01
2.851145e+01	2.852819e+01
2.787644e+01	2.789460e+01
2.817026e+01	2.813941e+01
2.839610e+01	2.837421e+01
2.928189e+01	2.925240e+01
2.715859e+01	2.717995e+01
2.733138e+01	2.736259e+01
2.814280e+01	2.811577e+01
2.843233e+01	2.847789e+01
2.641676e+01	2.638465e+01
2.698102e+01	2.694998e+01
2.754295e+01	2.753988e+01
2.505711e+01	2.501716e+01
2.866402e+01	2.865865e+01
2.647651e+01	2.647372e+01
2.863385e+01	2.865349e+01
2.673760e+01	2.671354e+01
2.817180e+01	2.813481e+01
2.833189e+01	2.832041e+01
2.731528e+01	2.732397e+01
2.808913e+01	2.806247e+01
2.739998e+01	2.737256e+01
