ConstellationDiagramMatched_Layer1	ConstellationDiagramMatched_Layer2
1.079107e-06	2.400562e+00
1.328876e-04	2.206421e+00
-6.486068e-05	9.911608e-01
-4.287352e-04	2.206535e+00
-3.365497e-04	1.652130e+00
1.307581e-03	2.224874e+00
-3.111813e-02	9.971825e-01
-4.120787e-03	8.208263e-01
-4.548699e-03	1.558485e+00
-5.170934e-02	1.624324e+00
1.949406e+00	9.296739e-01
1.589536e+00	1.434465e+00
2.415562e+00	1.370313e+00
1.801086e+00	1.199289e+00
1.388151e+00	7.770303e-01
2.376002e+00	1.566699e+00
4.963170e-01	1.353521e+00
1.992715e+00	1.602316e+00
1.445993e+00	1.777141e+00
1.980434e+00	1.406879e+00
1.018927e+00	1.536333e+00
1.386345e+00	1.806879e+00
1.220670e+00	1.756623e+00
2.240125e+00	1.962817e+00
1.938967e+00	8.025341e-01
1.429251e+00	1.180822e+00
8.149458e-01	1.610308e+00
2.417505e+00	9.938734e-01
1.808661e+00	1.219096e+00
2.177212e+00	1.807239e+00
6.452507e-01	2.215366e+00
4.645251e-01	1.411819e+00
1.031670e+00	1.401447e+00
1.976330e+00	1.608176e+00
1.202351e+00	1.778596e+00
1.007261e+00	1.784934e+00
1.427032e+00	1.288926e+00
1.240830e+00	1.419384e+00
2.003232e+00	1.610121e+00
1.359965e+00	6.225100e-01
1.395077e+00	3.474684e-01
8.273431e-01	1.614204e+00
1.347626e+00	1.002861e+00
1.601886e+00	1.393598e+00
1.824329e+00	2.035896e+00
1.989066e+00	4.030753e-01
1.804303e+00	1.383609e+00
1.161693e+00	1.434728e+00
2.414725e+00	3.803432e-01
7.754594e-01	7.907699e-01
1.591186e+00	1.029783e+00
8.095830e-01	1.994141e+00
9.663398e-01	1.260571e+00
1.756825e+00	1.649317e+00
1.767114e+00	1.794031e+00
2.594966e+00	1.159125e+00
7.728636e-01	1.622379e+00
1.011135e+00	1.837598e+00
1.386919e+00	1.121133e+00
2.006496e+00	1.199046e+00
1.227274e+00	1.575835e+00
1.553821e+00	1.424179e+00
2.190806e+00	2.330848e+00
1.327333e+00	2.795661e+00
1.589338e+00	2.216627e+00
2.037998e+00	8.068068e-01
1.384091e+00	1.370914e+00
2.584591e+00	1.428842e+00
1.135957e+00	1.406486e+00
1.790539e+00	1.587905e+00
1.375618e+00	2.021644e+00
1.396592e+00	2.201548e+00
1.188737e+00	1.222441e+00
1.554522e+00	1.012917e+00
1.393827e+00	1.008137e+00
1.955410e+00	2.163997e+00
2.229864e+00	1.609793e+00
1.351433e+00	2.630864e+00
1.395210e+00	1.416540e+00
7.818058e-01	1.176742e+00
1.374380e+00	2.232676e+00
1.719642e+00	1.804725e+00
2.005528e+00	5.327605e-01
1.864228e+00	1.378804e+00
1.840126e+00	2.053771e+00
1.426698e+00	1.764937e+00
1.591812e+00	1.606015e+00
2.011368e+00	1.213382e+00
2.005891e+00	1.027221e+00
1.999239e+00	1.812510e+00
2.196327e+00	1.420105e+00
1.609329e+00	1.177469e+00
2.017382e+00	1.553478e+00
2.010743e+00	2.214461e+00
1.417852e+00	1.543757e+00
1.601701e+00	1.598285e+00
1.215289e+00	2.169085e+00
1.406067e+00	1.356298e+00
7.367231e-01	9.953047e-01
1.819449e+00	1.595128e+00
