ConstellationDiagramNoFilt_Layer1	ConstellationDiagramNoFilt_Layer2
1.994863e+00	1.013616e+00
1.593290e+00	1.380522e+00
2.406960e+00	1.450914e+00
1.845619e+00	1.147719e+00
1.353385e+00	8.044969e-01
2.449487e+00	1.578249e+00
6.141122e-01	1.324274e+00
2.008847e+00	1.542289e+00
1.394036e+00	1.796626e+00
1.936020e+00	1.397024e+00
9.371873e-01	1.551887e+00
1.391584e+00	1.808975e+00
1.250816e+00	1.787301e+00
2.157360e+00	1.969943e+00
2.055716e+00	7.520040e-01
1.380577e+00	1.181481e+00
7.523092e-01	1.599705e+00
2.341850e+00	9.975404e-01
1.827010e+00	1.186492e+00
2.220173e+00	1.784068e+00
6.040176e-01	2.179605e+00
3.667520e-01	1.378723e+00
1.029466e+00	1.392760e+00
2.033207e+00	1.583723e+00
1.205290e+00	1.769709e+00
1.026153e+00	1.810279e+00
1.361252e+00	1.200756e+00
1.215658e+00	1.366372e+00
1.988062e+00	1.633923e+00
1.403974e+00	6.414849e-01
1.451618e+00	3.601765e-01
8.408091e-01	1.630779e+00
1.391987e+00	1.022409e+00
1.628664e+00	1.392087e+00
1.821121e+00	1.942760e+00
1.965894e+00	4.515790e-01
1.713828e+00	1.386297e+00
1.136473e+00	1.451880e+00
2.363184e+00	4.008919e-01
7.247245e-01	7.578635e-01
1.631631e+00	1.014682e+00
7.432445e-01	2.003449e+00
9.527249e-01	1.198489e+00
1.831865e+00	1.553330e+00
1.777375e+00	1.842511e+00
2.578192e+00	1.226769e+00
7.680546e-01	1.634861e+00
9.439052e-01	1.834118e+00
1.345934e+00	1.177397e+00
1.970741e+00	1.216991e+00
1.175949e+00	1.617072e+00
1.623443e+00	1.293422e+00
2.240532e+00	2.402159e+00
1.399457e+00	2.754545e+00
1.596505e+00	2.181041e+00
2.024707e+00	7.764160e-01
1.466286e+00	1.326169e+00
2.547119e+00	1.428393e+00
1.188104e+00	1.454942e+00
1.797435e+00	1.617664e+00
1.420956e+00	1.991332e+00
1.355770e+00	2.294866e+00
1.241697e+00	1.251710e+00
1.534461e+00	1.025765e+00
1.398190e+00	9.879368e-01
2.021838e+00	2.199166e+00
2.116165e+00	1.614681e+00
1.415541e+00	2.589246e+00
1.449507e+00	1.431307e+00
7.857182e-01	1.268429e+00
1.386449e+00	2.172690e+00
1.803195e+00	1.800394e+00
2.009148e+00	6.679538e-01
1.799946e+00	1.397960e+00
1.813916e+00	1.975423e+00
1.378262e+00	1.832351e+00
1.620686e+00	1.609993e+00
2.024324e+00	1.177460e+00
2.013474e+00	9.792584e-01
2.029429e+00	1.817675e+00
2.235448e+00	1.422016e+00
1.593146e+00	1.214392e+00
1.958555e+00	1.571154e+00
2.061174e+00	2.131653e+00
1.361250e+00	1.542707e+00
1.595069e+00	1.542418e+00
1.170347e+00	2.235652e+00
1.431298e+00	1.392067e+00
7.382253e-01	1.009987e+00
1.849292e+00	1.610786e+00
2.417353e+00	2.427324e+00
2.209976e+00	1.555081e+00
1.019658e+00	2.153359e+00
2.174087e+00	1.194601e+00
1.613086e+00	1.186588e+00
2.191238e+00	1.187985e+00
9.950291e-01	1.562659e+00
7.921969e-01	1.807551e+00
1.591000e+00	1.193493e+00
1.644369e+00	9.985095e-01
