EyeNoFilt_Layer1	EyeNoFilt_Layer2
9.974313e+00	5.068079e+00
7.966452e+00	6.902610e+00
1.203480e+01	7.254569e+00
9.228096e+00	5.738596e+00
6.766924e+00	4.022484e+00
1.224744e+01	7.891246e+00
3.070561e+00	6.621368e+00
1.004424e+01	7.711444e+00
6.970180e+00	8.983130e+00
9.680102e+00	6.985120e+00
4.685936e+00	7.759437e+00
6.957918e+00	9.044876e+00
6.254081e+00	8.936503e+00
1.078680e+01	9.849715e+00
1.027858e+01	3.760020e+00
6.902886e+00	5.907406e+00
3.761546e+00	7.998524e+00
1.170925e+01	4.987702e+00
9.135049e+00	5.932459e+00
1.110087e+01	8.920339e+00
3.020088e+00	1.089802e+01
1.833760e+00	6.893617e+00
5.147330e+00	6.963801e+00
1.016604e+01	7.918617e+00
6.026448e+00	8.848543e+00
5.130766e+00	9.051393e+00
6.806259e+00	6.003779e+00
6.078289e+00	6.831862e+00
9.940308e+00	8.169613e+00
7.019868e+00	3.207425e+00
7.258090e+00	1.800883e+00
4.204045e+00	8.153893e+00
6.959936e+00	5.112043e+00
8.143319e+00	6.960436e+00
9.105607e+00	9.713801e+00
9.829469e+00	2.257895e+00
8.569141e+00	6.931485e+00
5.682366e+00	7.259402e+00
1.181592e+01	2.004459e+00
3.623623e+00	3.789317e+00
8.158157e+00	5.073409e+00
3.716222e+00	1.001724e+01
4.763625e+00	5.992447e+00
9.159324e+00	7.766649e+00
8.886876e+00	9.212556e+00
1.289096e+01	6.133846e+00
3.840273e+00	8.174304e+00
4.719526e+00	9.170592e+00
6.729669e+00	5.886986e+00
9.853703e+00	6.084956e+00
5.879743e+00	8.085358e+00
8.117213e+00	6.467108e+00
1.120266e+01	1.201080e+01
6.997287e+00	1.377272e+01
7.982523e+00	1.090520e+01
1.012353e+01	3.882080e+00
7.331430e+00	6.630847e+00
1.273559e+01	7.141967e+00
5.940522e+00	7.274710e+00
8.987174e+00	8.088320e+00
7.104782e+00	9.956659e+00
6.778850e+00	1.147433e+01
6.208486e+00	6.258551e+00
7.672304e+00	5.128825e+00
6.990949e+00	4.939684e+00
1.010919e+01	1.099583e+01
1.058082e+01	8.073406e+00
7.077707e+00	1.294623e+01
7.247537e+00	7.156535e+00
3.928591e+00	6.342145e+00
6.932243e+00	1.086345e+01
9.015973e+00	9.001969e+00
1.004574e+01	3.339769e+00
8.999731e+00	6.989798e+00
9.069582e+00	9.877115e+00
6.891311e+00	9.161755e+00
8.103429e+00	8.049965e+00
1.012162e+01	5.887302e+00
1.006737e+01	4.896292e+00
1.014714e+01	9.088374e+00
1.117724e+01	7.110080e+00
7.965730e+00	6.071961e+00
9.792773e+00	7.855768e+00
1.030587e+01	1.065826e+01
6.806251e+00	7.713535e+00
7.975344e+00	7.712092e+00
5.851734e+00	1.117826e+01
7.156492e+00	6.960334e+00
3.691126e+00	5.049933e+00
9.246461e+00	8.053928e+00
1.208676e+01	1.213662e+01
1.104988e+01	7.775403e+00
5.098290e+00	1.076680e+01
1.087043e+01	5.973004e+00
8.065432e+00	5.932941e+00
1.095619e+01	5.939924e+00
4.975145e+00	7.813295e+00
3.960984e+00	9.037754e+00
7.955001e+00	5.967464e+00
8.221847e+00	4.992547e+00
