EyeMatched_Layer1	EyeMatched_Layer2
5.395534e-06	1.200281e+01
6.644378e-04	1.103210e+01
-3.243034e-04	4.955804e+00
-2.143676e-03	1.103268e+01
-1.682749e-03	8.260651e+00
6.537903e-03	1.112437e+01
-1.555907e-01	4.985912e+00
-2.060394e-02	4.104131e+00
-2.274349e-02	7.792423e+00
-2.585467e-01	8.121618e+00
9.747030e+00	4.648369e+00
7.947681e+00	7.172323e+00
1.207781e+01	6.851565e+00
9.005430e+00	5.996445e+00
6.940754e+00	3.885151e+00
1.188001e+01	7.833494e+00
2.481585e+00	6.767605e+00
9.963574e+00	8.011578e+00
7.229963e+00	8.885704e+00
9.902169e+00	7.034393e+00
5.094637e+00	7.681667e+00
6.931727e+00	9.034396e+00
6.103348e+00	8.783117e+00
1.120063e+01	9.814083e+00
9.694834e+00	4.012670e+00
7.146254e+00	5.904108e+00
4.074729e+00	8.051539e+00
1.208752e+01	4.969367e+00
9.043305e+00	6.095481e+00
1.088606e+01	9.036196e+00
3.226254e+00	1.107683e+01
2.322626e+00	7.059095e+00
5.158351e+00	7.007236e+00
9.881648e+00	8.040878e+00
6.011754e+00	8.892982e+00
5.036304e+00	8.924669e+00
7.135161e+00	6.444628e+00
6.204149e+00	7.096919e+00
1.001616e+01	8.050606e+00
6.799826e+00	3.112550e+00
6.975385e+00	1.737342e+00
4.136715e+00	8.071019e+00
6.738128e+00	5.014304e+00
8.009432e+00	6.967988e+00
9.121647e+00	1.017948e+01
9.945331e+00	2.015377e+00
9.021517e+00	6.918046e+00
5.808463e+00	7.173642e+00
1.207362e+01	1.901716e+00
3.877297e+00	3.953850e+00
7.955928e+00	5.148914e+00
4.047915e+00	9.970703e+00
4.831699e+00	6.302857e+00
8.784123e+00	8.246586e+00
8.835570e+00	8.970157e+00
1.297483e+01	5.795625e+00
3.864318e+00	8.111893e+00
5.055676e+00	9.187990e+00
6.934597e+00	5.605665e+00
1.003248e+01	5.995232e+00
6.136371e+00	7.879177e+00
7.769107e+00	7.120896e+00
1.095403e+01	1.165424e+01
6.636666e+00	1.397831e+01
7.946692e+00	1.108313e+01
1.018999e+01	4.034034e+00
6.920453e+00	6.854568e+00
1.292295e+01	7.144212e+00
5.679787e+00	7.032429e+00
8.952695e+00	7.939527e+00
6.878092e+00	1.010822e+01
6.982961e+00	1.100774e+01
5.943684e+00	6.112206e+00
7.772610e+00	5.064583e+00
6.969134e+00	5.040684e+00
9.777049e+00	1.081998e+01
1.114932e+01	8.048964e+00
6.757164e+00	1.315432e+01
6.976049e+00	7.082701e+00
3.909029e+00	5.883712e+00
6.871902e+00	1.116338e+01
8.598212e+00	9.023623e+00
1.002764e+01	2.663803e+00
9.321140e+00	6.894022e+00
9.200632e+00	1.026885e+01
7.133491e+00	8.824685e+00
7.959058e+00	8.030074e+00
1.005684e+01	6.066908e+00
1.002946e+01	5.136105e+00
9.996197e+00	9.062548e+00
1.098164e+01	7.100527e+00
8.046644e+00	5.887347e+00
1.008691e+01	7.767389e+00
1.005372e+01	1.107230e+01
7.089259e+00	7.718784e+00
8.008506e+00	7.991424e+00
6.076447e+00	1.084542e+01
7.030335e+00	6.781489e+00
3.683615e+00	4.976523e+00
9.097247e+00	7.975642e+00
